date,Buy&Hold,StratA,StratB,StratC
2023-12-05,1.021089887459492,1.0,0.978910112540508,0.978910112540508
2023-12-14,1.0484235586766213,1.0,0.978910112540508,0.978910112540508
2023-12-22,1.0437238701935359,1.0,0.978910112540508,0.978910112540508
2023-12-24,1.0235389060859323,1.0,0.978910112540508,0.978910112540508
2023-12-29,1.0041647490545222,1.0,0.978910112540508,0.978910112540508
2023-12-30,1.0168965903381963,1.0,0.978910112540508,0.978910112540508
2024-01-01,1.0367102392959897,1.0,0.978910112540508,0.978910112540508
2024-01-02,1.043626446112918,1.0,0.978910112540508,0.978910112540508
2024-01-05,1.0448219054385792,1.0,0.978910112540508,0.978910112540508
2024-01-06,1.0529537319517528,1.0,0.978910112540508,0.978910112540508
2024-01-07,1.0661734534877114,1.0,0.978910112540508,0.978910112540508
2024-01-08,1.1182168368831717,1.0,0.978910112540508,0.978910112540508
2024-01-09,1.1065180655406892,1.0,0.9891514585779866,0.9891514585779866
2024-01-10,1.106435224483238,1.0,0.9891514585779866,0.9891514585779866
2024-01-11,1.1059324952096075,1.0,0.9896008978070331,0.9896008978070331
2024-01-12,1.011701248824974,1.0,0.9896008978070331,0.9896008978070331
2024-01-15,1.0264559212285156,1.0,0.9896008978070331,0.9896008978070331
2024-01-16,1.01813500946974,1.0,0.9896008978070331,0.9896008978070331
2024-01-17,1.0189431654475103,1.0,0.9896008978070331,0.9896008978070331
2024-01-18,0.9799774963149587,1.0,0.9896008978070331,0.9896008978070331
2024-01-19,0.9968335055530435,1.0,0.9896008978070331,0.9896008978070331
2024-01-20,0.9939849524160377,1.0,0.9896008978070331,0.9896008978070331
2024-01-21,0.989778157728049,1.0,0.9896008978070331,0.9896008978070331
2024-01-22,0.9459960950659266,1.0,0.9896008978070331,0.9896008978070331
2024-01-23,0.9488838680612746,1.0,0.9896008978070331,0.9896008978070331
2024-01-24,1.0025097876651718,1.0,0.9896008978070331,0.9896008978070331
2024-01-29,1.032155762732856,1.0,0.9896008978070331,0.9896008978070331
2024-01-30,1.037015720699095,1.0,0.9896008978070331,0.9896008978070331
2024-01-31,1.0278062579649334,1.0,0.9896008978070331,0.9896008978070331
2024-02-02,1.029533036153909,1.0,0.9896008978070331,0.9896008978070331
2024-02-03,1.0269356161593033,1.0,0.9896008978070331,0.9896008978070331
2024-02-04,1.017330965136652,1.0,0.9896008978070331,0.9896008978070331
2024-02-05,1.020001637487458,1.0,0.9896008978070331,0.9896008978070331
2024-02-06,1.150931576515985,1.0,0.9896008978070331,0.9896008978070331
2024-02-11,1.1915228360080587,1.0,0.9896008978070331,0.9896008978070331
2024-02-12,1.1863301310600618,1.0,0.9896008978070331,0.9896008978070331
2024-02-14,1.2448757637938797,1.0,0.9896008978070331,0.9896008978070331
2024-02-15,1.2429410207709835,1.0,0.9896008978070331,0.9896008978070331
2024-02-16,1.2392865061721794,1.0,0.9896008978070331,0.9896008978070331
2024-02-17,1.2449832958815183,1.0,0.9850518704571005,0.9850518704571005
2024-02-19,1.238988312899403,1.0,0.9897952025318573,0.9897952025318573
2024-02-20,1.2322521627123906,1.0,0.9897952025318573,0.9897952025318573
2024-02-22,1.234831913594718,1.0,0.9897952025318573,0.9897952025318573
2024-02-23,1.5023166340501968,1.0,0.7753894278327893,0.7753894278327893
2024-03-04,1.6757194251537193,1.0,0.6858911902902257,0.6858911902902257
2024-03-27,1.6622170532285683,1.0,0.6914178660645031,0.6914178660645031
2024-05-21,1.6186403663855233,1.0,0.7095440787445244,0.7095440787445244
2024-05-29,1.6551457875688778,1.0,0.7095440787445244,0.7095440787445244
2024-05-30,1.6926681590529404,1.0,0.7095440787445244,0.7095440787445244
2024-06-04,1.7141226041147586,1.0,0.7095440787445244,0.7095440787445244
2024-06-05,1.6526318938576012,1.0,0.7349975493749368,0.7349975493749368
2024-06-07,1.6512521128876818,1.0,0.7356111982070417,0.7356111982070417
2024-06-08,1.5976422475111445,1.0,0.7356111982070417,0.7356111982070417
2024-06-11,1.6545691235271256,1.0,0.7356111982070417,0.7356111982070417
2024-06-12,1.5437694579998744,1.0,0.7356111982070417,0.7356111982070417
2024-07-19,1.6092728895480726,1.0,0.7356111982070417,0.7356111982070417
2024-07-29,1.5170889390072626,1.0,0.7356111982070417,0.7356111982070417
2024-08-01,1.5279063972322808,1.0,0.7356111982070417,0.7356111982070417
2024-08-02,1.4051293723697098,1.0,0.7356111982070417,0.7356111982070417
2024-08-04,1.2662431164785204,1.0,0.8083207202763919,0.7356111982070417
2024-08-05,1.2599237650830726,1.0,0.8123547502388637,0.7356111982070417
2024-08-06,1.4228721219003306,1.1293319177978314,0.9174181480194343,0.8307492052247191
2024-08-09,1.3705106478134912,1.1293319177978314,0.9174181480194343,0.8307492052247191
2024-08-16,1.3971730942431182,1.1293319177978314,0.8995703390555564,0.8307492052247191
2024-08-19,1.5195137301798123,1.1293319177978314,0.820801281876236,0.8307492052247191
2024-08-24,1.537429844651679,1.1293319177978314,0.820801281876236,0.8307492052247191
2024-08-25,1.4418255844365901,1.1293319177978314,0.820801281876236,0.8307492052247191
2024-08-28,1.4522993244214186,1.1293319177978314,0.8148387997990818,0.8307492052247191
2024-08-29,1.4150376069434176,1.1293319177978314,0.8357451602425964,0.8307492052247191
2024-08-30,1.4125504438402445,1.1293319177978314,0.8372141208666896,0.8307492052247191
2024-08-31,1.3492085727322827,1.1293319177978314,0.8747566448628811,0.8307492052247191
2024-09-04,1.5166076440990723,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-20,1.4976582997359855,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-22,1.5207790791809552,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-23,1.514502352746956,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-25,1.536323723850915,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-26,1.5782415796676923,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-27,1.5370442768477797,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-09-30,1.4815553332453388,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-10-01,1.4549028675016131,1.1293319177978314,0.7662237960643944,0.8307492052247191
2024-10-02,1.4401705962087124,1.1293319177978314,0.7739825386491013,0.8307492052247191
2024-10-03,1.4878829716365551,1.1293319177978314,0.7483407531857429,0.8307492052247191
2024-10-05,1.4879617917854773,1.1293319177978314,0.7483407531857429,0.8307492052247191
2024-10-06,1.521332853464271,1.1293319177978314,0.7483407531857429,0.8307492052247191
2024-10-07,1.487779129148908,1.1293319177978314,0.7483407531857429,0.8307492052247191
2024-10-08,1.4790880787316851,1.1293319177978314,0.7483407531857429,0.8307492052247191
2024-10-09,1.4194994330686743,1.1293319177978314,0.7483407531857429,0.8307492052247191
2024-10-10,1.4677063666053045,1.1293319177978314,0.7229267148908565,0.8307492052247191
2024-10-11,1.4984313943716514,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-12,1.4975128238479447,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-13,1.5452619860767574,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-14,1.5888519461277202,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-15,1.6140942884534735,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-16,1.603794971064319,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-17,1.6059725969272591,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-18,1.6315640114552663,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-19,1.634980480641757,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-20,1.617154014579374,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-21,1.6014656229150828,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-22,1.5867130179838842,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-23,1.6248348844449956,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-25,1.617955021626697,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-27,1.6400238353964232,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-28,1.696860089287191,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-29,1.6840993439776166,1.1293319177978314,0.7077929361641006,0.8307492052247191
2024-10-31,1.6747150521927987,1.1293319177978314,0.7117369644424497,0.8353783816267604
2024-11-01,1.6452481409517346,1.1293319177978314,0.7242601037853185,0.850077013845936
2024-11-02,1.6236667125687745,1.1293319177978314,0.7242601037853185,0.850077013845936
2024-11-03,1.6446133931100575,1.1293319177978314,0.7242601037853185,0.850077013845936
2024-11-04,1.617648110485925,1.1293319177978314,0.7242601037853185,0.850077013845936
2024-11-05,1.7413939733105175,1.1293319177978314,0.7242601037853185,0.850077013845936
2024-11-06,1.8041748145791727,1.1293319177978314,0.7242601037853185,0.850077013845936
2024-11-07,1.8175772433209159,1.1293319177978314,0.7188798909849673,0.8437621620305806
2024-11-08,1.8179000995909642,1.1293319177978314,0.718752196340314,0.8436122845464507
2024-11-09,1.8538934163152825,1.1293319177978314,0.7045213398400051,0.8269092742121434
2024-11-10,1.9062829619071353,1.1293319177978314,0.6846121301038053,0.8035414793106617
2024-11-11,2.0855851041316456,1.1293319177978314,0.6202185306364472,0.7279615620131203
2024-11-12,2.1186696726598666,1.1293319177978314,0.6103797269172109,0.7164135824381695
2024-11-13,2.135587796488454,1.1293319177978314,0.60550568735564,0.7106928351897539
2024-11-14,2.12601492824431,1.1293319177978314,0.6082198938030015,0.7138785477530657
2024-11-15,2.1818387574905462,1.1293319177978314,0.5922495621535141,0.6951338843817563
2024-11-16,2.1692733857977387,1.1293319177978314,0.5956603714343616,0.6991372121270054
2024-11-17,2.155799719403956,1.1293319177978314,0.5993601029579434,0.7034796530666079
2024-11-18,2.1879610841460546,1.1293319177978314,0.5904185307378571,0.6929847701202572
2024-11-19,2.2270400714116563,1.1293319177978314,0.5798731154600141,0.6806074279440114
2024-11-20,2.276866046863984,1.1293319177978314,0.5668995080304624,0.6653800732894027
2024-11-21,2.34995656814625,1.1293319177978314,0.548701256704401,0.6440204608192097
2024-11-22,2.3445926965715107,1.1293319177978314,0.5499536896700802,0.6454904637503974
2024-11-23,2.3205069654698227,1.1293319177978314,0.5556033006695277,0.6521215130415303
2024-11-24,2.315570156316515,1.1293319177978314,0.5567853300713648,0.6535088820529396
2024-11-25,2.237119153289751,1.1293319177978314,0.5756490934928847,0.6756496179507919
2024-11-26,2.2639293889685863,1.1293319177978314,0.5687503604315917,0.6675524517954095
2024-11-27,2.2942728457939467,1.1293319177978314,0.5611273965307491,0.658605242974137
2024-11-28,2.326662445574718,1.1293319177978314,0.5532056308902864,0.6493073252166404
2024-11-29,2.3180883552040665,1.1293319177978314,0.5552442743049459,0.6517001173878133
2024-11-30,2.307117633997165,1.1293319177978314,0.5578720559947391,0.6547843916702478
2024-12-01,2.294983365085278,1.1293319177978314,0.5608061801356652,0.6582282255566316
2024-12-02,2.2767372491660463,1.1293319177978314,0.5652648331815432,0.6634614262357879
2024-12-03,2.290976507548462,1.1293319177978314,0.5617295319441635,0.6593119800586332
2024-12-04,2.385086077864328,1.1293319177978314,0.5386546009220349,0.6322285215670326
2024-12-05,2.362770759337935,1.1293319177978314,0.5436943557161451,0.638143771742352
2024-12-06,2.3730698033056874,1.1293319177978314,0.5436943557161451,0.638143771742352
2024-12-07,2.3871399044814767,1.1293319177978314,0.5404707528609003,0.6343601715209818
2024-12-08,2.3838103818681997,1.1293319177978314,0.5412245878540178,0.6352449611104299
2024-12-09,2.308955829190187,1.1293319177978314,0.5582196998521476,0.6551924274720863
2024-12-10,2.3452285241987365,1.1293319177978314,0.5494503103885117,0.6448996385009167
2024-12-11,2.4336558136730995,1.1293319177978314,0.5494503103885117,0.6448996385009167
2024-12-12,2.393826345100734,1.1293319177978314,0.5584426723103341,0.6554541342269309
2024-12-13,2.421508394337411,1.1293319177978314,0.5519848782508802,0.64787450604998
2024-12-14,2.4466284932498477,1.1293319177978314,0.5462587305438327,0.6411536242587464
2024-12-15,2.516772149262786,1.1293319177978314,0.5305977568426578,0.6227720598342608
2024-12-16,2.5583800540810877,1.1293319177978314,0.5218257824031041,0.6124762368307076
2024-12-17,2.516980727666695,1.1293319177978314,0.5302698897837455,0.6223872364138874
2024-12-18,2.4019464706880176,1.1293319177978314,0.554504959245714,0.6508323701039873
2024-12-19,2.299091338692737,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-20,2.3436115700804847,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-21,2.2836143003887557,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-22,2.2563545019940814,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-23,2.2997272295309634,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-24,2.3632519134520513,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-25,2.3031856190235067,1.1293319177978314,0.5782497351894171,0.6787020375386125
2024-12-26,2.262538603754194,1.1293319177978314,0.5884547858034817,0.6906798876325367
2024-12-27,2.267118134140222,1.1293319177978314,0.5884547858034817,0.6906798876325367
2024-12-28,2.25021412505728,1.1293319177978314,0.5884547858034817,0.6906798876325367
2024-12-29,2.2287736148000428,1.1293319177978314,0.5884547858034817,0.6906798876325367
2024-12-30,2.2376226623152933,1.1293319177978314,0.5884547858034817,0.6906798876325367
2024-12-31,2.2373950102137936,1.1293319177978314,0.5884547858034817,0.6906798876325367
2025-01-01,2.282489534431786,1.1293319177978314,0.5884547858034817,0.6906798876325367
2025-01-02,2.329624676106819,1.1293319177978314,0.5884547858034817,0.6906798876325367
2025-01-03,2.34091853950788,1.1293319177978314,0.5884547858034817,0.6906798876325367
2025-01-04,2.342901815176563,1.1293319177978314,0.5884547858034817,0.6906798876325367
2025-01-05,2.388178846938389,1.1293319177978314,0.5884547858034817,0.6906798876325367
2025-01-06,2.3675423323038847,1.1293319177978314,0.5935396879725742,0.6966481280878776
2025-01-07,2.3053993079155934,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-08,2.248531933784168,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-09,2.214283529261168,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-10,2.2605861568396173,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-11,2.2605977579277776,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-12,2.222817209926827,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-13,2.252907505338045,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-14,2.32146087146143,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-15,2.3700167209901526,1.1293319177978314,0.609118860856552,0.7149336814328496
2025-01-16,2.3970473892107185,1.1293319177978314,0.6021716989699373,0.7067796735005996
2025-01-17,2.4866024020379762,1.1293319177978314,0.5796742320995718,0.6803739949932452
2025-01-18,2.4999457045772604,1.1293319177978314,0.5765636549333982,0.6767230550409571
2025-01-19,2.473551594920355,1.1293319177978314,0.582650940871103,0.683867811220823
2025-01-20,2.4778383697951485,1.1293319177978314,0.5816411808890471,0.6826826379028935
2025-01-21,2.514507494679633,1.1293319177978314,0.5730335681569291,0.6725797291696657
2025-01-22,2.4715924560928904,1.1293319177978314,0.582813518203205,0.6840586311379633
2025-01-23,2.500511955257821,1.1293319177978314,0.5759941596914737,0.6760546283084553
2025-01-24,2.5183990214182734,1.1293319177978314,0.5718738651970716,0.6712185651017963
2025-01-25,2.434615385479693,1.1293319177978314,0.5908993140306235,0.6935490740542793
2025-01-27,2.4041085032940788,1.1293319177978314,0.5908993140306235,0.6935490740542793
2025-01-28,2.45646297046693,1.1293319177978314,0.5908993140306235,0.6935490740542793
2025-01-29,2.4947510943333198,1.1293319177978314,0.5908993140306235,0.6935490740542793
2025-01-30,2.5073002955504107,1.1293319177978314,0.5908993140306235,0.6935490740542793
2025-01-31,2.4371104700636406,1.1293319177978314,0.60744105807527,0.7129644143550687
2025-02-01,2.3696952789993584,1.1293319177978314,0.60744105807527,0.7129644143550687
2025-02-02,2.342588670468811,1.1293319177978314,0.60744105807527,0.7129644143550687
2025-02-03,2.375357447761771,1.1293319177978314,0.598944004793319,0.7129644143550687
2025-02-04,2.3751282589424183,1.1293319177978314,0.598944004793319,0.7129644143550687
2025-02-05,2.3177335865604527,1.1293319177978314,0.598944004793319,0.7129644143550687
2025-02-06,2.3472784991409354,1.1293319177978314,0.598944004793319,0.7129644143550687
2025-02-07,2.3032000913628154,1.1293319177978314,0.6101912846066018,0.7129644143550687
2025-02-08,2.308702341500673,1.1293319177978314,0.608733562764528,0.7129644143550687
2025-02-09,2.3063552537362266,1.1293319177978314,0.608733562764528,0.7129644143550687
2025-02-10,2.3231697339683985,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-11,2.3009434757172635,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-12,2.3080361566152914,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-13,2.3147196737734856,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-14,2.3216833471987974,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-15,2.326094988526855,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-16,2.2998327575251243,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-17,2.287548165257616,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-18,2.2847174343106067,1.1293319177978314,0.6042955914497523,0.7129644143550687
2025-02-19,2.312457091581358,1.1293319177978314,0.5969585998615125,0.7129644143550687
2025-02-20,2.3408103285384607,1.1293319177978314,0.5969585998615125,0.7129644143550687
2025-02-21,2.298367541201473,1.1293319177978314,0.5969585998615125,0.7129644143550687
2025-02-22,2.2963925122435516,1.1293319177978314,0.5969585998615125,0.7129644143550687
2025-02-23,2.275690362775318,1.1293319177978314,0.5969585998615125,0.7129644143550687
2025-02-24,2.2181261133307255,1.1293319177978314,0.5969585998615125,0.7129644143550687
2025-02-25,2.107972470894263,1.1293319177978314,0.6266039675271841,0.7129644143550687
2025-02-26,2.0237495161326304,1.084210042471251,0.6015683286186204,0.6844782882571285
2025-02-27,1.95565532632388,1.0477290432981539,0.5813270351060865,0.6614472786835629
2025-02-28,2.0262071199857514,1.0855266870247047,0.6022988620322387,0.6853095059869853
2025-03-01,2.2076424668281383,1.1827294403979034,0.6562313064786695,0.7466750824311188
2025-03-02,2.194073227724949,1.1827294403979034,0.660264821705164,0.7466750824311188
2025-03-03,2.019350568839656,1.1827294403979034,0.7128442998005105,0.7466750824311188
2025-03-04,2.1164464980028095,1.239598324749192,0.7471198142682929,0.7825772739724729
2025-03-05,2.156689808785081,1.2631687484169483,0.7613259729902659,0.7974576408881195
2025-03-06,2.1419235063053454,1.2631687484169483,0.7665385768413437,0.7974576408881195
2025-03-07,2.0542025370069874,1.2631687484169483,0.7979316246169355,0.7974576408881195
2025-03-08,1.9916023418125348,1.2631687484169483,0.8222479588405441,0.7974576408881195
2025-03-09,1.9655214254767799,1.2631687484169483,0.8330156606912301,0.7974576408881195
2025-03-10,1.9077865257771136,1.2260646395284303,0.8085467971139261,0.7740332526750835
2025-03-11,1.9869427152325074,1.276935428046836,0.8420943049672125,0.8061487550993216
2025-03-12,1.9773662545274526,1.276935428046836,0.8461529438799731,0.8061487550993216
2025-03-13,1.9641219170268347,1.276935428046836,0.8461529438799731,0.8061487550993216
2025-03-14,2.0140675556274816,1.276935428046836,0.8246361282640283,0.8061487550993216
2025-03-15,2.010166107033179,1.276935428046836,0.8246361282640283,0.8061487550993216
2025-03-16,1.991022004455792,1.276935428046836,0.8324896676174531,0.8061487550993216
2025-03-17,1.9796058220161319,1.276935428046836,0.837263022157676,0.8061487550993216
2025-03-18,1.9959813609971944,1.276935428046836,0.8303370810919029,0.8061487550993216
2025-03-19,2.0305320189773104,1.276935428046836,0.8159638544387835,0.8061487550993216
2025-03-20,2.0017438163918464,1.276935428046836,0.8159638544387835,0.8061487550993216
2025-03-21,2.0143494176236065,1.276935428046836,0.8108254771477645,0.8061487550993216
2025-03-22,2.0256064424845666,1.276935428046836,0.8062942461337729,0.8061487550993216
2025-03-23,2.0679190265077363,1.276935428046836,0.7894516886056249,0.8061487550993216
2025-03-24,2.0885799205849227,1.276935428046836,0.7894516886056249,0.8061487550993216
2025-03-25,2.088717343209838,1.276935428046836,0.7894516886056249,0.8061487550993216
2025-03-26,2.075421358062068,1.276935428046836,0.7894516886056249,0.8061487550993216
2025-03-27,2.0528427054346796,1.276935428046836,0.7980401881765147,0.8061487550993216
2025-03-28,1.9721707217781428,1.276935428046836,0.8294013269756042,0.8061487550993216
2025-03-29,1.9793153201422877,1.276935428046836,0.8263966482738604,0.8061487550993216
2025-03-30,1.9829138399121629,1.276935428046836,0.8248942071790487,0.8061487550993216
2025-03-31,2.0125516872687172,1.276935428046836,0.8125648320415181,0.8061487550993216
2025-04-01,2.065517726030749,1.276935428046836,0.791179870520861,0.8061487550993216
2025-04-02,1.9895276340643888,1.276935428046836,0.8202872610627703,0.8061487550993216
2025-04-03,1.9865751786255166,1.276935428046836,0.8215045658862347,0.8061487550993216
2025-04-04,1.9924175257013963,1.276935428046836,0.8190885914746104,0.8061487550993216
2025-04-05,1.946364368087567,1.276935428046836,0.8380211773991345,0.8061487550993216
2025-04-06,1.8450231572797888,1.276935428046836,0.8816543645827006,0.8061487550993216
2025-04-07,1.8734827648942272,1.2966322438227242,0.8952539430858639,0.8185836544437939
2025-04-08,1.8829318726085866,1.3031719451572514,0.8997692506715202,0.822712267350724
2025-04-09,1.93461542600916,1.3389419896275032,0.9244665181572792,0.8452944404083292
2025-04-10,1.9928823100158686,1.3389419896275032,0.8966233702854184,0.8452944404083292
2025-04-11,1.996800997862263,1.3389419896275032,0.8948603022475959,0.8452944404083292
2025-04-12,2.0374123049109034,1.3389419896275032,0.8766604683437053,0.8452944404083292
2025-04-13,2.018444783678337,1.3389419896275032,0.8766604683437053,0.8452944404083292
2025-04-14,2.0375061766250027,1.3389419896275032,0.8683816341625419,0.8452944404083292
2025-04-15,2.0261838957592953,1.3389419896275032,0.8732071708276117,0.8452944404083292
2025-04-16,2.020209709308118,1.3389419896275032,0.8757818149455259,0.8452944404083292
2025-04-17,2.0333736916568044,1.3389419896275032,0.87007509237107,0.8452944404083292
2025-04-18,2.032377842415088,1.3389419896275032,0.8705012135629244,0.8452944404083292
2025-04-19,2.031887667003075,1.3389419896275032,0.8707111638399403,0.8452944404083292
2025-04-20,2.0702734549279884,1.3389419896275032,0.8542619601650583,0.8452944404083292
2025-04-21,2.142783659575337,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-22,2.1957313167841015,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-23,2.2283318786013058,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-24,2.2287800573844994,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-25,2.259905669886389,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-26,2.2525137713222025,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-28,2.2662717608488165,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-29,2.2630472824970984,1.3389419896275032,0.8243418984425029,0.8452944404083292
2025-04-30,2.264090253131515,1.3389419896275032,0.8243418984425029,0.8452944404083292
